env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
1 49 1 0 -5 1366 -2
1 49 2 0 -5 1366 -1
1 49 3 0 -5 1366 -1
1 49 4 0 -6 1366 0
1 49 5 0 -6 1366 0
1 49 6 0 -6 1366 0
1 49 7 0 -6 1366 0
1 49 8 0 -6 1366 0
1 49 9 0 -6 1366 0
1 49 10 0 -6 1366 0
1 49 11 0 -6 1366 0
1 49 12 0 -6 1366 0
1 49 13 0 -6 1366 0
1 49 14 0 -5 1366 1
1 49 15 0 -4 1366 2
1 49 16 0 -5 1367 -2
1 49 17 0 -5 1367 -5
1 49 18 0 -6 1367 -10
1 49 19 0 -7 1160 -38
1 50 0 0 0 1477 0
1 50 19 0 -11 1284 5
1 51 0 0 -10 1474 -2
1 51 1 0 -5 1374 0
1 51 2 0 -6 1374 0
1 51 3 0 -7 1374 0
1 51 4 0 -7 1374 0
1 51 5 0 -8 1374 0
1 51 6 0 -8 1374 0
1 51 7 0 -8 1374 0
1 51 8 0 -8 1374 0
1 51 9 0 -8 1374 0
1 51 10 0 -8 1374 0
1 51 11 0 -8 1374 0
1 51 12 0 -8 1374 0
1 51 13 0 -7 1374 0
1 51 14 0 -7 1374 0
1 51 15 0 -6 1374 1
1 51 16 0 -6 1374 -3
1 51 17 0 -6 1373 -7
1 51 18 0 -7 1374 -14
1 51 19 0 -8 1166 -37
1 52 0 0 -2 1477 0
1 52 19 0 -13 1288 7
1 53 0 0 -15 1487 -6
1 53 1 0 -11 1383 -2
1 53 2 0 -11 1383 -1
1 53 3 0 -12 1383 -1
1 53 4 0 -12 1383 0
1 53 5 0 -12 1383 0
1 53 6 0 -13 1383 0
1 53 7 0 -13 1383 0
1 53 8 0 -14 1383 0
1 53 9 0 -14 1383 0
1 53 10 0 -14 1383 0
1 53 11 0 -13 1383 0
1 53 12 0 -13 1383 0
1 53 13 0 -12 1383 0
1 53 14 0 -11 1383 1
1 53 15 0 -10 1383 2
1 53 16 0 -11 1383 -1
1 53 17 0 -10 1383 -5
1 53 18 0 -11 1383 -10
1 53 19 0 -9 1177 -37
1 54 0 0 -3 1495 0
1 54 19 0 -14 1301 8
1 55 0 0 -14 1497 -4
1 55 1 0 -9 1397 0
1 55 2 0 -10 1397 0
1 55 3 0 -10 1398 0
1 55 4 0 -11 1398 0
1 55 5 0 -11 1398 0
1 55 6 0 -12 1398 0
1 55 7 0 -12 1398 0
1 55 8 0 -12 1398 0
1 55 9 0 -12 1398 0
1 55 10 0 -12 1398 0
1 55 11 0 -12 1398 0
1 55 12 0 -11 1398 0
1 55 13 0 -11 1398 0
1 55 14 0 -11 1397 0
1 55 15 0 -9 1397 1
1 55 16 0 -10 1397 -3
1 55 17 0 -10 1397 -6
1 55 18 0 -10 1397 -13
1 55 19 0 -10 1192 -36
1 56 0 0 -6 1503 0
1 56 19 0 -15 1310 10
1 57 0 0 -18 1514 -7
1 57 1 0 -9 1408 -2
1 57 2 0 -10 1408 -1
1 57 3 0 -10 1409 -1
1 57 4 0 -11 1409 0
1 57 5 0 -11 1409 0
1 57 6 0 -11 1409 0
1 57 7 0 -11 1409 0
1 57 8 0 -11 1409 0
1 57 9 0 -11 1409 0
1 57 10 0 -11 1409 0
1 57 11 0 -11 1408 0
1 57 12 0 -11 1408 0
1 57 13 0 -11 1408 0
1 57 14 0 -10 1408 0
1 57 15 0 -10 1408 1
1 57 16 0 -10 1408 -2
1 57 17 0 -10 1409 -6
1 57 18 0 -11 1409 -12
1 57 19 0 -11 1212 -34
1 58 0 0 -8 1522 0
1 58 19 0 -15 1327 10
1 59 0 0 -20 1531 -7
1 59 1 0 -9 1427 -2
1 59 2 0 -10 1428 -1
1 59 3 0 -10 1428 -1
1 59 4 0 -11 1429 0
1 59 5 0 -11 1429 0
1 59 6 0 -11 1429 0
1 59 7 0 -11 1429 0
1 59 8 0 -11 1429 0
1 59 9 0 -11 1429 0
1 59 10 0 -11 1429 0
